prod_name,prod_price,prod_link
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)","₹59,995",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01837343K0AJ0Z9YKN83&url=%2FHP-Laptop-15-6-inch-Windows-15s-fq2535TU%2Fdp%2FB08XNYN5QV%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993497%26sr%3D8-1-spons%26psc%3D1&qualifier=1620993497&id=1209729853832364&widgetName=sp_atf
"HP 14 10th Gen Intel Core i5 Processor 14"" (35.56cms) FHD Laptop with Built-in 4G LTE (8GB/256GB SSD + 1TB HDD/Windows 10/MS Office 2019/Natural Silver/1.51kg) 14s-er0003TU","₹61,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0124594S4BM3N1QEW0J&url=%2FHP-Processor-14-inch-Windows-14s-er0003TU%2Fdp%2FB089P9JV71%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1620993497%26sr%3D8-2-spons%26psc%3D1&qualifier=1620993497&id=1209729853832364&widgetName=sp_atf
"HP 15 Entry Level 15.6-inch (39.62 cms) HD Laptop (AMD 3020e/4GB/1TB HDD/Windows 10 Home/Jet Black/1.74 Kg), 15s-gy0003AU","₹25,990",https://www.amazon.in/HP-15-6-inch-Laptop-Windows-15s-gy0003AU/dp/B08RFTYKFZ/ref=sr_1_3?dchild=1&keywords=Laptop&qid=1620993497&sr=8-3
"ASUS VivoBook 14 (2020) Intel Quad Core Pentium Silver N5030, 14-inch (35.56 cms) FHD Thin and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Transparent Silver/1.5 Kg), X415MA-EK101T","₹24,990",https://www.amazon.in/ASUS-Pentium-Silver-N5030-Integrated-Transparent-X415MA-EK101T/dp/B08PQVMPKS/ref=sr_1_4?dchild=1&keywords=Laptop&qid=1620993497&sr=8-4
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu","₹25,990",https://www.amazon.in/HP-Pentium-Processor-15-6-inch-15s-du1052tu/dp/B08HJZHTM1/ref=sr_1_5?dchild=1&keywords=Laptop&qid=1620993497&sr=8-5
"Lenovo IdeaPad Slim 3 Intel Celeron N4020 15.6"" (39.62cms) HD Thin and Light Laptop (4GB/256GB SSD/Windows 10/Platinum Grey/1.7Kg), 81WQ003LIN","₹28,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cms-Platinum-81WQ003LIN/dp/B08TQQ4ZHM/ref=sr_1_6?dchild=1&keywords=Laptop&qid=1620993497&sr=8-6
"AVITA Essential NE14A2INC433-MB 14"" (35.56cms) Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Matt Black","₹17,990",https://www.amazon.in/AVITA-Essential-NE14A2INC433-MB-Integrated-Graphics/dp/B08DDZLCQF/ref=sr_1_7?dchild=1&keywords=Laptop&qid=1620993497&sr=8-7
"Lenovo Ideapad S145 AMD Ryzen 3 3200U 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/Platinum Grey/1.85Kg), 81UT00KWIN","₹27,990",https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81UT00KWIN/dp/B088RNS2BM/ref=sr_1_8?dchild=1&keywords=Laptop&qid=1620993497&sr=8-8
"Dell Inspiron 3502 15.6"" (39.62 cms) HD Display Laptop (Pentium Silver N5030 / 4GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560427WIN9BE",,https://www.amazon.in/Dell-Inspiron-Integrated-Graphics-D560427WIN9BE/dp/B08X4N3DW2/ref=sr_1_9?dchild=1&keywords=Laptop&qid=1620993497&sr=8-9
"HP 15 (2021) Thin & Light 11th Gen Core i3 Laptop, 8 GB RAM, 1TB HDD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office","₹37,990",https://www.amazon.in/HP-Laptop-15-6-inch-Screen-Windows/dp/B08XY3843B/ref=sr_1_10?dchild=1&keywords=Laptop&qid=1620993497&sr=8-10
